"acfrequency";"r Z";"i Z"
2.23357e+09;3.62668;64.3082
2.23872e+09;3.60369;64.5106
2.24388e+09;3.58079;64.7134
2.24905e+09;3.55798;64.9166
2.25424e+09;3.53526;65.1203
2.25944e+09;3.51262;65.3244
2.26464e+09;3.49006;65.5289
2.26986e+09;3.4676;65.7339
2.2751e+09;3.44522;65.9393
2.28034e+09;3.42292;66.1451
2.2856e+09;3.40071;66.3513
2.29087e+09;3.37859;66.558
2.29615e+09;3.35655;66.7652
2.30144e+09;3.3346;66.9727
2.30675e+09;3.31273;67.1807
2.31206e+09;3.29095;67.3892
2.31739e+09;3.26926;67.598
2.32274e+09;3.24765;67.8074
2.32809e+09;3.22613;68.0171
2.33346e+09;3.20469;68.2273
2.33884e+09;3.18334;68.438
2.34423e+09;3.16208;68.649
2.34963e+09;3.1409;68.8606
2.35505e+09;3.1198;69.0725
2.36048e+09;3.0988;69.285
2.36592e+09;3.07787;69.4978
2.37137e+09;3.05704;69.7111
2.37684e+09;3.03628;69.9249
2.38232e+09;3.01562;70.1391
2.38781e+09;2.99504;70.3537
2.39332e+09;2.97454;70.5688
2.39883e+09;2.95413;70.7844
2.40436e+09;2.93381;71.0004
2.40991e+09;2.91357;71.2168
2.41546e+09;2.89342;71.4337
2.42103e+09;2.87335;71.6511
2.42661e+09;2.85336;71.8689
2.4322e+09;2.83346;72.0871
2.43781e+09;2.81365;72.3058
2.44343e+09;2.79392;72.525
2.44906e+09;2.77428;72.7446
2.45471e+09;2.75472;72.9647
2.46037e+09;2.73525;73.1853
2.46604e+09;2.71586;73.4063
2.47172e+09;2.69655;73.6277
2.47742e+09;2.67733;73.8496
2.48313e+09;2.6582;74.072
2.48886e+09;2.63915;74.2949
2.49459e+09;2.62018;74.5182
2.50035e+09;2.6013;74.7419
2.50611e+09;2.58251;74.9662
2.51189e+09;2.56379;75.1909
2.51768e+09;2.54517;75.416
2.52348e+09;2.52662;75.6417
2.5293e+09;2.50816;75.8678
2.53513e+09;2.48979;76.0943
2.54097e+09;2.4715;76.3214
2.54683e+09;2.45329;76.5489
2.5527e+09;2.43517;76.7769
2.55859e+09;2.41713;77.0053
2.56448e+09;2.39917;77.2342
2.5704e+09;2.3813;77.4636
2.57632e+09;2.36352;77.6935
2.58226e+09;2.34581;77.9239
2.58821e+09;2.32819;78.1547
2.59418e+09;2.31066;78.386
2.60016e+09;2.2932;78.6178
2.60615e+09;2.27583;78.85
2.61216e+09;2.25855;79.0828
2.61818e+09;2.24135;79.316
2.62422e+09;2.22423;79.5497
2.63027e+09;2.20719;79.7838
2.63633e+09;2.19024;80.0185
2.64241e+09;2.17337;80.2537
2.6485e+09;2.15658;80.4893
2.65461e+09;2.13988;80.7254
2.66073e+09;2.12326;80.962
2.66686e+09;2.10672;81.1991
2.67301e+09;2.09027;81.4367
2.67917e+09;2.0739;81.6748
2.68534e+09;2.05761;81.9133
2.69153e+09;2.0414;82.1524
2.69774e+09;2.02528;82.3919
2.70396e+09;2.00923;82.632
2.71019e+09;1.99328;82.8725
2.71644e+09;1.9774;83.1135
2.7227e+09;1.9616;83.355
2.72898e+09;1.94589;83.5971
2.73527e+09;1.93026;83.8396
2.74157e+09;1.91471;84.0826
2.74789e+09;1.89925;84.3261
2.75423e+09;1.88386;84.5701
2.76058e+09;1.86856;84.8147
2.76694e+09;1.85334;85.0597
2.77332e+09;1.8382;85.3052
2.77971e+09;1.82315;85.5512
2.78612e+09;1.80817;85.7978
2.79254e+09;1.79328;86.0448
2.79898e+09;1.77847;86.2924
2.80543e+09;1.76374;86.5404
2.8119e+09;1.74909;86.789
2.81838e+09;1.73452;87.0381
2.82488e+09;1.72003;87.2877
2.83139e+09;1.70563;87.5378
2.83792e+09;1.6913;87.7884
2.84446e+09;1.67706;88.0395
2.85102e+09;1.66289;88.2912
2.85759e+09;1.64881;88.5433
2.86418e+09;1.63481;88.796
2.87078e+09;1.62089;89.0492
2.8774e+09;1.60705;89.3029
