"acfrequency";"number";"r Ganho";"i Ganho"
1.15345e+08;1;0.0572503;0
1.16145e+08;1;0.0580424;0
1.1695e+08;1;0.0588453;0
1.17761e+08;1;0.0596593;0
1.18577e+08;1;0.0604845;0
1.19399e+08;1;0.061321;0
1.20226e+08;1;0.062169;0
1.2106e+08;1;0.0630287;0
1.21899e+08;1;0.0639001;0
1.22744e+08;1;0.0647836;0
1.23595e+08;1;0.0656792;0
1.24451e+08;1;0.066587;0
1.25314e+08;1;0.0675074;0
1.26183e+08;1;0.0684404;0
1.27057e+08;1;0.0693861;0
1.27938e+08;1;0.0703449;0
1.28825e+08;1;0.0713168;0
1.29718e+08;1;0.072302;0
1.30617e+08;1;0.0733007;0
1.31522e+08;1;0.0743132;0
1.32434e+08;1;0.0753395;0
1.33352e+08;1;0.0763798;0
1.34276e+08;1;0.0774344;0
1.35207e+08;1;0.0785035;0
1.36144e+08;1;0.0795872;0
1.37088e+08;1;0.0806857;0
1.38038e+08;1;0.0817992;0
1.38995e+08;1;0.082928;0
1.39959e+08;1;0.0840722;0
1.40929e+08;1;0.0852321;0
1.41906e+08;1;0.0864078;0
1.42889e+08;1;0.0875996;0
1.4388e+08;1;0.0888077;0
1.44877e+08;1;0.0900323;0
1.45881e+08;1;0.0912736;0
1.46893e+08;1;0.0925318;0
1.47911e+08;1;0.0938072;0
1.48936e+08;1;0.0951;0
1.49968e+08;1;0.0964105;0
1.51008e+08;1;0.0977388;0
1.52055e+08;1;0.0990852;0
1.53109e+08;1;0.10045;0
1.5417e+08;1;0.101833;0
1.55239e+08;1;0.103235;0
1.56315e+08;1;0.104657;0
1.57398e+08;1;0.106097;0
1.58489e+08;1;0.107558;0
1.59588e+08;1;0.109038;0
1.60694e+08;1;0.110538;0
1.61808e+08;1;0.112058;0
1.6293e+08;1;0.1136;0
1.64059e+08;1;0.115162;0
1.65196e+08;1;0.116745;0
1.66341e+08;1;0.11835;0
1.67494e+08;1;0.119976;0
1.68655e+08;1;0.121625;0
1.69824e+08;1;0.123296;0
1.71002e+08;1;0.124989;0
1.72187e+08;1;0.126706;0
1.7338e+08;1;0.128446;0
1.74582e+08;1;0.130209;0
1.75792e+08;1;0.131996;0
1.77011e+08;1;0.133807;0
1.78238e+08;1;0.135643;0
1.79473e+08;1;0.137503;0
1.80717e+08;1;0.139389;0
1.8197e+08;1;0.1413;0
1.83231e+08;1;0.143237;0
1.84502e+08;1;0.1452;0
1.8578e+08;1;0.147189;0
1.87068e+08;1;0.149205;0
1.88365e+08;1;0.151248;0
1.89671e+08;1;0.153319;0
1.90985e+08;1;0.155417;0
1.92309e+08;1;0.157544;0
1.93642e+08;1;0.159699;0
1.94984e+08;1;0.161883;0
1.96336e+08;1;0.164096;0
1.97697e+08;1;0.166339;0
1.99067e+08;1;0.168612;0
2.00447e+08;1;0.170915;0
2.01837e+08;1;0.173249;0
2.03236e+08;1;0.175615;0
2.04644e+08;1;0.178011;0
2.06063e+08;1;0.18044;0
2.07491e+08;1;0.182901;0
2.0893e+08;1;0.185395;0
2.10378e+08;1;0.187923;0
2.11836e+08;1;0.190483;0
2.13304e+08;1;0.193078;0
2.14783e+08;1;0.195707;0
2.16272e+08;1;0.198371;0
2.17771e+08;1;0.201071;0
2.1928e+08;1;0.203806;0
2.208e+08;1;0.206577;0
2.22331e+08;1;0.209385;0
2.23872e+08;1;0.21223;0
2.25424e+08;1;0.215113;0
2.26986e+08;1;0.218033;0
2.2856e+08;1;0.220992;0
2.30144e+08;1;0.22399;0
2.31739e+08;1;0.227027;0
2.33346e+08;1;0.230104;0
2.34963e+08;1;0.233222;0
2.36592e+08;1;0.23638;0
2.38232e+08;1;0.23958;0
2.39883e+08;1;0.242821;0
2.41546e+08;1;0.246105;0
2.4322e+08;1;0.249431;0
2.44906e+08;1;0.252801;0
2.46604e+08;1;0.256215;0
2.48313e+08;1;0.259673;0
2.50035e+08;1;0.263176;0
2.51768e+08;1;0.266724;0
2.53513e+08;1;0.270318;0
2.5527e+08;1;0.273958;0
2.5704e+08;1;0.277646;0
2.58821e+08;1;0.281381;0
2.60615e+08;1;0.285164;0
2.62422e+08;1;0.288995;0
