"acfrequency";"number";"r Zin";"i Zin"
2.09411e+09;1;0.3711;-12.4863
2.09894e+09;1;0.3711;-12.4406
2.10378e+09;1;0.3711;-12.395
2.10863e+09;1;0.3711;-12.3494
2.11349e+09;1;0.3711;-12.304
2.11836e+09;1;0.3711;-12.2585
2.12324e+09;1;0.3711;-12.2132
2.12814e+09;1;0.3711;-12.1679
2.13304e+09;1;0.3711;-12.1227
2.13796e+09;1;0.3711;-12.0775
2.14289e+09;1;0.3711;-12.0324
2.14783e+09;1;0.3711;-11.9874
2.15278e+09;1;0.3711;-11.9424
2.15774e+09;1;0.3711;-11.8975
2.16272e+09;1;0.3711;-11.8526
2.1677e+09;1;0.3711;-11.8079
2.1727e+09;1;0.3711;-11.7631
2.17771e+09;1;0.3711;-11.7185
2.18273e+09;1;0.3711;-11.6739
2.18776e+09;1;0.3711;-11.6294
2.1928e+09;1;0.3711;-11.5849
2.19786e+09;1;0.3711;-11.5405
2.20293e+09;1;0.3711;-11.4961
2.208e+09;1;0.3711;-11.4518
2.21309e+09;1;0.3711;-11.4076
2.2182e+09;1;0.3711;-11.3634
2.22331e+09;1;0.3711;-11.3193
2.22844e+09;1;0.3711;-11.2753
2.23357e+09;1;0.3711;-11.2313
2.23872e+09;1;0.3711;-11.1874
2.24388e+09;1;0.3711;-11.1435
2.24905e+09;1;0.3711;-11.0997
2.25424e+09;1;0.3711;-11.0559
2.25944e+09;1;0.3711;-11.0123
2.26464e+09;1;0.3711;-10.9686
2.26986e+09;1;0.3711;-10.925
2.2751e+09;1;0.3711;-10.8815
2.28034e+09;1;0.3711;-10.8381
2.2856e+09;1;0.3711;-10.7947
2.29087e+09;1;0.3711;-10.7513
2.29615e+09;1;0.3711;-10.708
2.30144e+09;1;0.3711;-10.6648
2.30675e+09;1;0.3711;-10.6216
2.31206e+09;1;0.3711;-10.5785
2.31739e+09;1;0.3711;-10.5355
2.32274e+09;1;0.3711;-10.4924
2.32809e+09;1;0.3711;-10.4495
2.33346e+09;1;0.3711;-10.4066
2.33884e+09;1;0.3711;-10.3638
2.34423e+09;1;0.3711;-10.321
2.34963e+09;1;0.3711;-10.2782
2.35505e+09;1;0.3711;-10.2356
2.36048e+09;1;0.3711;-10.1929
2.36592e+09;1;0.3711;-10.1504
2.37137e+09;1;0.3711;-10.1079
2.37684e+09;1;0.3711;-10.0654
2.38232e+09;1;0.3711;-10.023
2.38781e+09;1;0.3711;-9.98065
2.39332e+09;1;0.3711;-9.93835
2.39883e+09;1;0.3711;-9.8961
2.40436e+09;1;0.3711;-9.8539
2.40991e+09;1;0.3711;-9.81176
2.41546e+09;1;0.3711;-9.76967
2.42103e+09;1;0.3711;-9.72763
2.42661e+09;1;0.3711;-9.68564
2.4322e+09;1;0.3711;-9.64371
2.43781e+09;1;0.3711;-9.60182
2.44343e+09;1;0.3711;-9.55999
2.44906e+09;1;0.3711;-9.5182
2.45471e+09;1;0.3711;-9.47647
2.46037e+09;1;0.3711;-9.43479
2.46604e+09;1;0.3711;-9.39315
2.47172e+09;1;0.3711;-9.35157
2.47742e+09;1;0.3711;-9.31004
2.48313e+09;1;0.3711;-9.26855
2.48886e+09;1;0.3711;-9.22712
2.49459e+09;1;0.3711;-9.18573
2.50035e+09;1;0.3711;-9.14439
2.50611e+09;1;0.3711;-9.1031
2.51189e+09;1;0.3711;-9.06186
2.51768e+09;1;0.3711;-9.02067
2.52348e+09;1;0.3711;-8.97953
2.5293e+09;1;0.3711;-8.93843
2.53513e+09;1;0.3711;-8.89738
2.54097e+09;1;0.3711;-8.85638
2.54683e+09;1;0.3711;-8.81542
2.5527e+09;1;0.3711;-8.77451
2.55859e+09;1;0.3711;-8.73365
2.56448e+09;1;0.3711;-8.69283
2.5704e+09;1;0.3711;-8.65206
2.57632e+09;1;0.3711;-8.61134
2.58226e+09;1;0.3711;-8.57066
2.58821e+09;1;0.3711;-8.53003
2.59418e+09;1;0.3711;-8.48944
2.60016e+09;1;0.3711;-8.4489
2.60615e+09;1;0.3711;-8.4084
2.61216e+09;1;0.3711;-8.36795
2.61818e+09;1;0.3711;-8.32754
2.62422e+09;1;0.3711;-8.28717
2.63027e+09;1;0.3711;-8.24685
2.63633e+09;1;0.3711;-8.20657
2.64241e+09;1;0.3711;-8.16634
