"acfrequency";"r Ganho";"i Ganho"
3.04789e+06;1;-0.00299668
3.05492e+06;1;-0.00300359
3.06196e+06;1;-0.00301051
3.06902e+06;1;-0.00301746
3.0761e+06;1;-0.00302441
3.08319e+06;1;-0.00303138
3.0903e+06;1;-0.00303837
3.09742e+06;1;-0.00304538
3.10456e+06;1;-0.0030524
3.11172e+06;1;-0.00305943
3.11889e+06;1;-0.00306649
3.12608e+06;1;-0.00307355
3.13329e+06;1;-0.00308064
3.14051e+06;1;-0.00308774
3.14775e+06;1;-0.00309486
3.155e+06;1;-0.00310199
3.16228e+06;1;-0.00310915
3.16957e+06;1;-0.00311631
3.17687e+06;1;-0.0031235
3.1842e+06;1;-0.0031307
3.19154e+06;1;-0.00313791
3.1989e+06;1;-0.00314515
3.20627e+06;1;-0.0031524
3.21366e+06;1;-0.00315967
3.22107e+06;1;-0.00316695
3.22849e+06;1;-0.00317425
3.23594e+06;1;-0.00318157
3.2434e+06;1;-0.0031889
3.25087e+06;1;-0.00319625
3.25837e+06;1;-0.00320362
3.26588e+06;1;-0.00321101
3.27341e+06;1;-0.00321841
3.28095e+06;1;-0.00322583
3.28852e+06;1;-0.00323327
3.2961e+06;1;-0.00324072
3.3037e+06;1;-0.00324819
3.31131e+06;1;-0.00325568
3.31894e+06;1;-0.00326318
3.3266e+06;1;-0.00327071
3.33426e+06;1;-0.00327825
3.34195e+06;1;-0.0032858
3.34965e+06;1;-0.00329338
3.35738e+06;1;-0.00330097
3.36512e+06;1;-0.00330858
3.37287e+06;1;-0.00331621
3.38065e+06;1;-0.00332385
3.38844e+06;1;-0.00333151
3.39625e+06;1;-0.00333919
3.40408e+06;1;-0.00334689
3.41193e+06;1;-0.00335461
3.41979e+06;1;-0.00336234
3.42768e+06;1;-0.00337009
3.43558e+06;1;-0.00337786
3.4435e+06;1;-0.00338565
3.45144e+06;1;-0.00339345
3.45939e+06;1;-0.00340128
3.46737e+06;1;-0.00340912
3.47536e+06;1;-0.00341698
3.48337e+06;1;-0.00342485
3.4914e+06;1;-0.00343275
3.49945e+06;1;-0.00344066
3.50752e+06;1;-0.00344859
3.5156e+06;1;-0.00345654
3.52371e+06;1;-0.00346451
3.53183e+06;1;-0.0034725
3.53997e+06;1;-0.0034805
3.54813e+06;1;-0.00348853
3.55631e+06;1;-0.00349657
3.56451e+06;1;-0.00350463
3.57273e+06;1;-0.00351271
3.58096e+06;1;-0.00352081
3.58922e+06;1;-0.00352892
3.59749e+06;1;-0.00353706
3.60579e+06;1;-0.00354521
3.6141e+06;1;-0.00355339
3.62243e+06;1;-0.00356158
3.63078e+06;1;-0.00356979
3.63915e+06;1;-0.00357802
3.64754e+06;1;-0.00358627
3.65595e+06;1;-0.00359453
3.66438e+06;1;-0.00360282
3.67282e+06;1;-0.00361113
3.68129e+06;1;-0.00361945
3.68978e+06;1;-0.00362779
3.69828e+06;1;-0.00363616
3.70681e+06;1;-0.00364454
3.71535e+06;1;-0.00365294
3.72392e+06;1;-0.00366136
3.7325e+06;1;-0.0036698
3.74111e+06;1;-0.00367826
3.74973e+06;1;-0.00368674
3.75837e+06;1;-0.00369524
3.76704e+06;1;-0.00370376
3.77572e+06;1;-0.0037123
3.78443e+06;1;-0.00372086
3.79315e+06;1;-0.00372943
3.80189e+06;1;-0.00373803
3.81066e+06;1;-0.00374665
3.81944e+06;1;-0.00375529
3.82825e+06;1;-0.00376394
3.83707e+06;1;-0.00377262
3.84592e+06;1;-0.00378132
3.85478e+06;1;-0.00379003
3.86367e+06;1;-0.00379877
3.87258e+06;1;-0.00380753
3.8815e+06;1;-0.00381631
3.89045e+06;1;-0.0038251
3.89942e+06;1;-0.00383392
3.90841e+06;1;-0.00384276
3.91742e+06;1;-0.00385162
3.92645e+06;1;-0.0038605
3.9355e+06;1;-0.0038694
3.94457e+06;1;-0.00387832
3.95367e+06;1;-0.00388726
3.96278e+06;1;-0.00389622
3.97192e+06;1;-0.0039052
3.98107e+06;1;-0.00391421
3.99025e+06;1;-0.00392323
3.99945e+06;1;-0.00393227
4.00867e+06;1;-0.00394134
4.01791e+06;1;-0.00395042
4.02717e+06;1;-0.00395953
4.03645e+06;1;-0.00396866
4.04576e+06;1;-0.00397781
4.05509e+06;1;-0.00398698
4.06443e+06;1;-0.00399617
4.0738e+06;1;-0.00400538
4.08319e+06;1;-0.00401462
4.09261e+06;1;-0.00402387
4.10204e+06;1;-0.00403315
4.1115e+06;1;-0.00404244
4.12098e+06;1;-0.00405176
4.13048e+06;1;-0.0040611
4.14e+06;1;-0.00407047
4.14954e+06;1;-0.00407985
4.15911e+06;1;-0.00408926
4.16869e+06;1;-0.00409868
4.1783e+06;1;-0.00410813
4.18794e+06;1;-0.0041176
4.19759e+06;1;-0.00412709
4.20727e+06;1;-0.00413661
4.21697e+06;1;-0.00414614
4.22669e+06;1;-0.0041557
4.23643e+06;1;-0.00416528
4.2462e+06;1;-0.00417489
4.25598e+06;1;-0.00418451
4.2658e+06;1;-0.00419416
