"acfrequency";"number";"r Pin";"i Pin"
2.85102e+06;1;2.73055e-09;8.41934e-05
2.85759e+06;1;2.74269e-09;8.43875e-05
2.86418e+06;1;2.75489e-09;8.4582e-05
2.87078e+06;1;2.76715e-09;8.4777e-05
2.8774e+06;1;2.77946e-09;8.49724e-05
2.88403e+06;1;2.79182e-09;8.51683e-05
2.89068e+06;1;2.80425e-09;8.53646e-05
2.89734e+06;1;2.81673e-09;8.55614e-05
2.90402e+06;1;2.82927e-09;8.57586e-05
2.91072e+06;1;2.84187e-09;8.59563e-05
2.91743e+06;1;2.85453e-09;8.61545e-05
2.92415e+06;1;2.86724e-09;8.63531e-05
2.93089e+06;1;2.88001e-09;8.65522e-05
2.93765e+06;1;2.89284e-09;8.67517e-05
2.94442e+06;1;2.90574e-09;8.69517e-05
2.95121e+06;1;2.91869e-09;8.71521e-05
2.95801e+06;1;2.9317e-09;8.7353e-05
2.96483e+06;1;2.94477e-09;8.75544e-05
2.97167e+06;1;2.9579e-09;8.77562e-05
2.97852e+06;1;2.97109e-09;8.79585e-05
2.98538e+06;1;2.98434e-09;8.81613e-05
2.99226e+06;1;2.99766e-09;8.83645e-05
2.99916e+06;1;3.01103e-09;8.85682e-05
3.00608e+06;1;3.02447e-09;8.87724e-05
3.01301e+06;1;3.03797e-09;8.8977e-05
3.01995e+06;1;3.05153e-09;8.91821e-05
3.02691e+06;1;3.06515e-09;8.93877e-05
3.03389e+06;1;3.07884e-09;8.95938e-05
3.04089e+06;1;3.09259e-09;8.98003e-05
3.04789e+06;1;3.1064e-09;9.00073e-05
3.05492e+06;1;3.12028e-09;9.02148e-05
3.06196e+06;1;3.13422e-09;9.04228e-05
3.06902e+06;1;3.14822e-09;9.06312e-05
3.0761e+06;1;3.16229e-09;9.08402e-05
3.08319e+06;1;3.17643e-09;9.10496e-05
3.0903e+06;1;3.19063e-09;9.12595e-05
3.09742e+06;1;3.20489e-09;9.14698e-05
3.10456e+06;1;3.21923e-09;9.16807e-05
3.11172e+06;1;3.23362e-09;9.18921e-05
3.11889e+06;1;3.24809e-09;9.21039e-05
3.12608e+06;1;3.26262e-09;9.23162e-05
3.13329e+06;1;3.27722e-09;9.2529e-05
3.14051e+06;1;3.29188e-09;9.27423e-05
3.14775e+06;1;3.30662e-09;9.29561e-05
3.155e+06;1;3.32142e-09;9.31704e-05
3.16228e+06;1;3.33629e-09;9.33852e-05
3.16957e+06;1;3.35122e-09;9.36005e-05
3.17687e+06;1;3.36623e-09;9.38162e-05
3.1842e+06;1;3.38131e-09;9.40325e-05
3.19154e+06;1;3.39645e-09;9.42493e-05
3.1989e+06;1;3.41167e-09;9.44665e-05
3.20627e+06;1;3.42695e-09;9.46843e-05
3.21366e+06;1;3.44231e-09;9.49026e-05
3.22107e+06;1;3.45774e-09;9.51213e-05
3.22849e+06;1;3.47324e-09;9.53406e-05
3.23594e+06;1;3.48881e-09;9.55604e-05
3.2434e+06;1;3.50445e-09;9.57807e-05
3.25087e+06;1;3.52016e-09;9.60015e-05
3.25837e+06;1;3.53595e-09;9.62228e-05
3.26588e+06;1;3.55181e-09;9.64446e-05
3.27341e+06;1;3.56774e-09;9.66669e-05
3.28095e+06;1;3.58375e-09;9.68898e-05
3.28852e+06;1;3.59983e-09;9.71131e-05
3.2961e+06;1;3.61598e-09;9.7337e-05
3.3037e+06;1;3.63221e-09;9.75614e-05
3.31131e+06;1;3.64852e-09;9.77863e-05
3.31894e+06;1;3.6649e-09;9.80117e-05
3.3266e+06;1;3.68135e-09;9.82377e-05
3.33426e+06;1;3.69788e-09;9.84641e-05
3.34195e+06;1;3.71449e-09;9.86911e-05
3.34965e+06;1;3.73117e-09;9.89186e-05
3.35738e+06;1;3.74793e-09;9.91466e-05
3.36512e+06;1;3.76477e-09;9.93752e-05
3.37287e+06;1;3.78169e-09;9.96043e-05
3.38065e+06;1;3.79868e-09;9.98339e-05
3.38844e+06;1;3.81575e-09;0.000100064
3.39625e+06;1;3.83291e-09;0.000100295
3.40408e+06;1;3.85014e-09;0.000100526
3.41193e+06;1;3.86745e-09;0.000100758
3.41979e+06;1;3.88483e-09;0.00010099
