"acfrequency";"number";"r tang";"i tang"
3.35738e+09;1;0.0887911;0
3.36512e+09;1;0.0895802;0
3.37287e+09;1;0.0903829;0
3.38065e+09;1;0.0911996;0
3.38844e+09;1;0.0920307;0
3.39625e+09;1;0.0928766;0
3.40408e+09;1;0.0937378;0
3.41193e+09;1;0.0946145;0
3.41979e+09;1;0.0955073;0
3.42768e+09;1;0.0964165;0
3.43558e+09;1;0.0973427;0
3.4435e+09;1;0.0982864;0
3.45144e+09;1;0.099248;0
3.45939e+09;1;0.100228;0
3.46737e+09;1;0.101227;0
3.47536e+09;1;0.102246;0
3.48337e+09;1;0.103285;0
3.4914e+09;1;0.104344;0
3.49945e+09;1;0.105425;0
3.50752e+09;1;0.106528;0
3.5156e+09;1;0.107654;0
3.52371e+09;1;0.108803;0
3.53183e+09;1;0.109977;0
3.53997e+09;1;0.111175;0
3.54813e+09;1;0.112399;0
3.55631e+09;1;0.11365;0
3.56451e+09;1;0.114929;0
3.57273e+09;1;0.116236;0
3.58096e+09;1;0.117572;0
3.58922e+09;1;0.118939;0
3.59749e+09;1;0.120337;0
3.60579e+09;1;0.121768;0
3.6141e+09;1;0.123233;0
3.62243e+09;1;0.124733;0
3.63078e+09;1;0.126269;0
3.63915e+09;1;0.127842;0
3.64754e+09;1;0.129455;0
3.65595e+09;1;0.131108;0
3.66438e+09;1;0.132803;0
3.67282e+09;1;0.134542;0
3.68129e+09;1;0.136326;0
3.68978e+09;1;0.138158;0
3.69828e+09;1;0.140038;0
3.70681e+09;1;0.14197;0
3.71535e+09;1;0.143955;0
3.72392e+09;1;0.145996;0
3.7325e+09;1;0.148094;0
3.74111e+09;1;0.150253;0
3.74973e+09;1;0.152475;0
3.75837e+09;1;0.154762;0
3.76704e+09;1;0.157119;0
3.77572e+09;1;0.159547;0
3.78443e+09;1;0.162051;0
3.79315e+09;1;0.164634;0
3.80189e+09;1;0.1673;0
3.81066e+09;1;0.170053;0
3.81944e+09;1;0.172896;0
3.82825e+09;1;0.175836;0
3.83707e+09;1;0.178876;0
3.84592e+09;1;0.182022;0
3.85478e+09;1;0.18528;0
3.86367e+09;1;0.188655;0
3.87258e+09;1;0.192155;0
3.8815e+09;1;0.195786;0
3.89045e+09;1;0.199556;0
3.89942e+09;1;0.203473;0
3.90841e+09;1;0.207545;0
3.91742e+09;1;0.211783;0
3.92645e+09;1;0.216196;0
3.9355e+09;1;0.220796;0
3.94457e+09;1;0.225594;0
3.95367e+09;1;0.230605;0
3.96278e+09;1;0.235842;0
3.97192e+09;1;0.241321;0
3.98107e+09;1;0.247059;0
3.99025e+09;1;0.253075;0
3.99945e+09;1;0.25939;0
4.00867e+09;1;0.266027;0
4.01791e+09;1;0.273012;0
4.02717e+09;1;0.280371;0
4.03645e+09;1;0.288136;0
4.04576e+09;1;0.296342;0
4.05509e+09;1;0.305028;0
4.06443e+09;1;0.314236;0
4.0738e+09;1;0.324016;0
4.08319e+09;1;0.334423;0
4.09261e+09;1;0.345518;0
4.10204e+09;1;0.357373;0
4.1115e+09;1;0.370068;0
4.12098e+09;1;0.383696;0
4.13048e+09;1;0.398364;0
4.14e+09;1;0.414196;0
4.14954e+09;1;0.431336;0
4.15911e+09;1;0.449953;0
4.16869e+09;1;0.470247;0
4.1783e+09;1;0.492456;0
4.18794e+09;1;0.516863;0
4.19759e+09;1;0.543813;0
4.20727e+09;1;0.573724;0
4.21697e+09;1;0.607115;0
4.22669e+09;1;0.644628;0
4.23643e+09;1;0.687078;0
4.2462e+09;1;0.73551;0
4.25598e+09;1;0.791283;0
4.2658e+09;1;0.856203;0
4.27563e+09;1;0.932722;0
4.28549e+09;1;1.02425;0
4.29536e+09;1;1.1357;0
4.30527e+09;1;1.27435;0
4.31519e+09;1;1.45156;0
4.32514e+09;1;1.686;0
4.33511e+09;1;2.01073;0
4.3451e+09;1;2.49039;0
4.35512e+09;1;3.27057;0
4.36516e+09;1;4.76251;0
4.37522e+09;1;8.7573;0
4.38531e+09;1;54.3239;0
4.39542e+09;1;12.9242;0
4.40555e+09;1;5.77511;0
4.4157e+09;1;3.7183;0
4.42588e+09;1;2.74179;0
4.43609e+09;1;2.17149;0
4.44631e+09;1;1.79759;0
4.45656e+09;1;1.53352;0
4.46684e+09;1;1.3371;0
4.47713e+09;1;1.18527;0
4.48745e+09;1;1.0644;0
4.4978e+09;1;0.965901;0
4.50817e+09;1;0.884081;0
4.51856e+09;1;0.815037;0
4.52898e+09;1;0.755992;0
4.53942e+09;1;0.70492;0
4.54988e+09;1;0.660309;0
4.56037e+09;1;0.621006;0
4.57088e+09;1;0.586115;0
4.58142e+09;1;0.554934;0
4.59198e+09;1;0.5269;0
4.60257e+09;1;0.50156;0
4.61318e+09;1;0.478543;0
4.62381e+09;1;0.457543;0
4.63447e+09;1;0.438307;0
4.64515e+09;1;0.420621;0
4.65586e+09;1;0.404304;0
4.66659e+09;1;0.389205;0
4.67735e+09;1;0.37519;0
4.68813e+09;1;0.362148;0
4.69894e+09;1;0.349981;0
4.70977e+09;1;0.338602;0
4.72063e+09;1;0.327939;0
4.73151e+09;1;0.317925;0
4.74242e+09;1;0.308503;0
4.75335e+09;1;0.299622;0
4.76431e+09;1;0.291236;0
4.77529e+09;1;0.283306;0
4.7863e+09;1;0.275794;0
4.79733e+09;1;0.268669;0
4.80839e+09;1;0.261902;0
4.81948e+09;1;0.255466;0
4.83059e+09;1;0.249337;0
4.84172e+09;1;0.243494;0
4.85289e+09;1;0.237918;0
4.86407e+09;1;0.23259;0
4.87528e+09;1;0.227494;0
4.88652e+09;1;0.222616;0
4.89779e+09;1;0.217941;0
4.90908e+09;1;0.213458;0
4.9204e+09;1;0.209154;0
4.93174e+09;1;0.205019;0
4.94311e+09;1;0.201044;0
4.9545e+09;1;0.197218;0
4.96592e+09;1;0.193535;0
4.97737e+09;1;0.189986;0
4.98884e+09;1;0.186563;0
5.00035e+09;1;0.183261;0
5.01187e+09;1;0.180072;0
5.02343e+09;1;0.176992;0
5.03501e+09;1;0.174014;0
5.04661e+09;1;0.171135;0
5.05825e+09;1;0.168348;0
5.06991e+09;1;0.165649;0
5.08159e+09;1;0.163035;0
5.09331e+09;1;0.160501;0
5.10505e+09;1;0.158044;0
5.11682e+09;1;0.15566;0
5.12861e+09;1;0.153346;0
5.14044e+09;1;0.151099;0
5.15229e+09;1;0.148916;0
5.16416e+09;1;0.146795;0
5.17607e+09;1;0.144733;0
5.188e+09;1;0.142727;0
5.19996e+09;1;0.140775;0
5.21195e+09;1;0.138875;0
5.22396e+09;1;0.137024;0
5.236e+09;1;0.135222;0
5.24807e+09;1;0.133466;0
5.26017e+09;1;0.131754;0
5.2723e+09;1;0.130085;0
5.28445e+09;1;0.128457;0
5.29663e+09;1;0.126869;0
5.30884e+09;1;0.125319;0
5.32108e+09;1;0.123805;0
5.33335e+09;1;0.122327;0
5.34564e+09;1;0.120883;0
5.35797e+09;1;0.119473;0
5.37032e+09;1;0.118094;0
5.3827e+09;1;0.116746;0
5.39511e+09;1;0.115428;0
5.40754e+09;1;0.114138;0
5.42001e+09;1;0.112877;0
5.4325e+09;1;0.111643;0
5.44503e+09;1;0.110434;0
5.45758e+09;1;0.109251;0
5.47016e+09;1;0.108093;0
5.48277e+09;1;0.106958;0
5.49541e+09;1;0.105847;0
5.50808e+09;1;0.104757;0
5.52077e+09;1;0.103689;0
5.5335e+09;1;0.102643;0
5.54626e+09;1;0.101616;0
5.55904e+09;1;0.10061;0
5.57186e+09;1;0.0996225;0
5.5847e+09;1;0.0986539;0
5.59758e+09;1;0.0977034;0
5.61048e+09;1;0.0967705;0
5.62341e+09;1;0.0958548;0
5.63638e+09;1;0.0949557;0
5.64937e+09;1;0.0940729;0
5.66239e+09;1;0.0932058;0
5.67545e+09;1;0.0923541;0
5.68853e+09;1;0.0915173;0
5.70164e+09;1;0.0906951;0
5.71479e+09;1;0.0898871;0
5.72796e+09;1;0.0890928;0
5.74116e+09;1;0.088312;0
5.7544e+09;1;0.0875443;0
5.76766e+09;1;0.0867894;0
5.78096e+09;1;0.0860469;0
5.79429e+09;1;0.0853166;0
5.80764e+09;1;0.0845982;0
5.82103e+09;1;0.0838913;0
5.83445e+09;1;0.0831956;0
5.8479e+09;1;0.082511;0
5.86138e+09;1;0.0818371;0
5.87489e+09;1;0.0811737;0
5.88844e+09;1;0.0805206;0
5.90201e+09;1;0.0798775;0
5.91562e+09;1;0.0792441;0
5.92925e+09;1;0.0786203;0
5.94292e+09;1;0.0780058;0
5.95662e+09;1;0.0774005;0
5.97035e+09;1;0.0768041;0
5.98412e+09;1;0.0762164;0
5.99791e+09;1;0.0756372;0
6.01174e+09;1;0.0750663;0
6.0256e+09;1;0.0745037;0
6.03949e+09;1;0.073949;0
6.05341e+09;1;0.0734021;0
6.06736e+09;1;0.0728628;0
6.08135e+09;1;0.0723311;0
6.09537e+09;1;0.0718067;0
6.10942e+09;1;0.0712894;0
6.1235e+09;1;0.0707792;0
