"acfrequency";"r Z";"i Z"
1.57392e+08;1.55514;3.27703
1.57754e+08;1.55616;3.28453
1.58118e+08;1.55718;3.29204
1.58483e+08;1.55821;3.29957
1.58848e+08;1.55925;3.30712
1.59214e+08;1.56028;3.31469
1.59581e+08;1.56133;3.32227
1.59949e+08;1.56238;3.32987
1.60318e+08;1.56343;3.33748
1.60687e+08;1.56449;3.34512
1.61058e+08;1.56555;3.35277
1.61429e+08;1.56662;3.36043
1.61801e+08;1.56769;3.36812
1.62174e+08;1.56877;3.37582
1.62548e+08;1.56985;3.38354
1.62923e+08;1.57094;3.39128
1.63298e+08;1.57203;3.39903
1.63675e+08;1.57313;3.4068
1.64052e+08;1.57423;3.41459
1.6443e+08;1.57534;3.4224
1.64809e+08;1.57645;3.43022
1.65189e+08;1.57757;3.43806
1.6557e+08;1.57869;3.44592
1.65952e+08;1.57982;3.4538
1.66334e+08;1.58096;3.4617
1.66718e+08;1.58209;3.46961
1.67102e+08;1.58324;3.47754
1.67487e+08;1.58439;3.48549
1.67873e+08;1.58554;3.49345
1.6826e+08;1.5867;3.50144
1.68648e+08;1.58787;3.50944
1.69037e+08;1.58904;3.51746
1.69427e+08;1.59021;3.5255
1.69817e+08;1.59139;3.53355
1.70209e+08;1.59258;3.54163
1.70601e+08;1.59377;3.54972
1.70995e+08;1.59497;3.55783
1.71389e+08;1.59617;3.56596
1.71784e+08;1.59738;3.5741
1.7218e+08;1.59859;3.58227
1.72577e+08;1.59981;3.59045
1.72975e+08;1.60104;3.59865
1.73373e+08;1.60227;3.60687
1.73773e+08;1.6035;3.61511
1.74174e+08;1.60475;3.62337
1.74575e+08;1.60599;3.63164
1.74978e+08;1.60725;3.63994
1.75381e+08;1.60851;3.64825
1.75785e+08;1.60977;3.65658
1.76191e+08;1.61104;3.66493
1.76597e+08;1.61232;3.6733
1.77004e+08;1.6136;3.68168
1.77412e+08;1.61489;3.69009
1.77821e+08;1.61618;3.69851
1.78231e+08;1.61748;3.70696
1.78642e+08;1.61879;3.71542
1.79053e+08;1.6201;3.7239
1.79466e+08;1.62142;3.7324
1.7988e+08;1.62274;3.74092
1.80295e+08;1.62407;3.74946
1.8071e+08;1.62541;3.75802
1.81127e+08;1.62675;3.76659
1.81544e+08;1.6281;3.77519
1.81963e+08;1.62945;3.7838
1.82382e+08;1.63081;3.79244
1.82803e+08;1.63218;3.80109
1.83224e+08;1.63355;3.80976
1.83647e+08;1.63493;3.81846
1.8407e+08;1.63632;3.82717
1.84494e+08;1.63771;3.8359
1.8492e+08;1.63911;3.84465
1.85346e+08;1.64051;3.85342
1.85773e+08;1.64193;3.86221
1.86201e+08;1.64334;3.87102
1.86631e+08;1.64477;3.87985
1.87061e+08;1.6462;3.8887
1.87492e+08;1.64764;3.89757
1.87924e+08;1.64908;3.90645
1.88358e+08;1.65053;3.91536
1.88792e+08;1.65199;3.92429
1.89227e+08;1.65345;3.93324
1.89663e+08;1.65492;3.9422
1.90101e+08;1.6564;3.95119
1.90539e+08;1.65788;3.9602
1.90978e+08;1.65937;3.96923
1.91418e+08;1.66087;3.97828
1.9186e+08;1.66238;3.98734
1.92302e+08;1.66389;3.99643
1.92745e+08;1.66541;4.00554
1.9319e+08;1.66693;4.01467
1.93635e+08;1.66846;4.02382
1.94081e+08;1.67;4.03299
1.94529e+08;1.67155;4.04218
1.94977e+08;1.6731;4.05139
1.95427e+08;1.67466;4.06062
1.95877e+08;1.67623;4.06987
1.96329e+08;1.67781;4.07914
1.96781e+08;1.67939;4.08844
1.97235e+08;1.68098;4.09775
1.9769e+08;1.68257;4.10708
1.98145e+08;1.68418;4.11644
1.98602e+08;1.68579;4.12581
1.9906e+08;1.68741;4.13521
1.99519e+08;1.68903;4.14463
1.99979e+08;1.69067;4.15406
2.0044e+08;1.69231;4.16352
2.00902e+08;1.69396;4.173
2.01365e+08;1.69561;4.1825
2.01829e+08;1.69727;4.19203
2.02294e+08;1.69895;4.20157
2.02761e+08;1.70062;4.21113
2.03228e+08;1.70231;4.22072
2.03697e+08;1.704;4.23033
2.04166e+08;1.70571;4.23995
2.04637e+08;1.70742;4.2496
2.05109e+08;1.70913;4.25927
2.05582e+08;1.71086;4.26897
2.06055e+08;1.71259;4.27868
2.06531e+08;1.71433;4.28842
2.07007e+08;1.71608;4.29817
2.07484e+08;1.71784;4.30795
2.07962e+08;1.7196;4.31775
2.08442e+08;1.72138;4.32757
2.08922e+08;1.72316;4.33742
2.09404e+08;1.72495;4.34728
2.09886e+08;1.72674;4.35717
2.1037e+08;1.72855;4.36708
2.10855e+08;1.73036;4.37701
2.11341e+08;1.73218;4.38696
2.11829e+08;1.73402;4.39694
2.12317e+08;1.73585;4.40693
2.12806e+08;1.7377;4.41695
2.13297e+08;1.73956;4.42699
2.13789e+08;1.74142;4.43706
2.14281e+08;1.74329;4.44714
2.14775e+08;1.74517;4.45725
2.15271e+08;1.74706;4.46738
2.15767e+08;1.74896;4.47753
2.16264e+08;1.75087;4.48771
2.16763e+08;1.75279;4.4979
2.17262e+08;1.75471;4.50812
2.17763e+08;1.75664;4.51837
2.18265e+08;1.75859;4.52863
2.18768e+08;1.76054;4.53892
2.19273e+08;1.7625;4.54923
2.19778e+08;1.76447;4.55956
2.20285e+08;1.76644;4.56992
2.20793e+08;1.76843;4.5803
2.21302e+08;1.77043;4.5907
2.21812e+08;1.77243;4.60112
2.22323e+08;1.77444;4.61157
2.22836e+08;1.77647;4.62204
2.2335e+08;1.7785;4.63253
2.23864e+08;1.78054;4.64305
2.2438e+08;1.78259;4.65359
2.24898e+08;1.78465;4.66415
2.25416e+08;1.78672;4.67474
2.25936e+08;1.7888;4.68535
2.26457e+08;1.79089;4.69598
2.26979e+08;1.79299;4.70663
2.27502e+08;1.7951;4.71731
2.28026e+08;1.79721;4.72801
2.28552e+08;1.79934;4.73874
2.29079e+08;1.80148;4.74949
2.29607e+08;1.80363;4.76026
2.30136e+08;1.80578;4.77106
2.30667e+08;1.80795;4.78188
2.31199e+08;1.81012;4.79272
2.31732e+08;1.81231;4.80359
2.32266e+08;1.81451;4.81448
2.32801e+08;1.81671;4.8254
2.33338e+08;1.81893;4.83634
2.33876e+08;1.82115;4.8473
2.34415e+08;1.82339;4.85829
2.34955e+08;1.82564;4.8693
2.35497e+08;1.82789;4.88034
2.3604e+08;1.83016;4.8914
2.36584e+08;1.83244;4.90248
2.3713e+08;1.83472;4.91359
2.37676e+08;1.83702;4.92472
2.38224e+08;1.83933;4.93588
2.38773e+08;1.84165;4.94706
2.39324e+08;1.84398;4.95826
2.39875e+08;1.84632;4.96949
2.40428e+08;1.84867;4.98075
2.40983e+08;1.85103;4.99203
2.41538e+08;1.8534;5.00333
2.42095e+08;1.85579;5.01466
2.42653e+08;1.85818;5.02601
2.43212e+08;1.86058;5.03739
2.43773e+08;1.863;5.04879
2.44335e+08;1.86543;5.06022
2.44898e+08;1.86786;5.07167
2.45463e+08;1.87031;5.08315
2.46029e+08;1.87277;5.09465
2.46596e+08;1.87524;5.10618
2.47164e+08;1.87773;5.11773
2.47734e+08;1.88022;5.12931
2.48305e+08;1.88272;5.14091
2.48878e+08;1.88524;5.15254
2.49451e+08;1.88777;5.16419
2.50027e+08;1.89031;5.17587
2.50603e+08;1.89286;5.18757
2.51181e+08;1.89542;5.1993
2.5176e+08;1.89799;5.21106
2.5234e+08;1.90058;5.22284
2.52922e+08;1.90318;5.23464
2.53505e+08;1.90579;5.24647
2.54089e+08;1.90841;5.25833
2.54675e+08;1.91104;5.27021
2.55262e+08;1.91369;5.28212
2.55851e+08;1.91634;5.29406
2.5644e+08;1.91901;5.30602
2.57032e+08;1.92169;5.318
2.57624e+08;1.92439;5.33001
2.58218e+08;1.92709;5.34205
2.58813e+08;1.92981;5.35412
2.5941e+08;1.93254;5.36621
