"acfrequency";"r Z";"i Z"
9.41838e+07;-0.565879;-5.35855
9.4401e+07;-0.597484;-5.36647
9.46186e+07;-0.598811;-5.37863
9.48367e+07;-0.600145;-5.39081
9.50553e+07;-0.601487;-5.40302
9.52745e+07;-0.602143;-5.41008
9.54941e+07;-0.603338;-5.42238
9.57142e+07;-0.605716;-5.43976
9.59349e+07;-0.60763;-5.45734
9.6156e+07;-0.608147;-5.46451
9.63777e+07;-0.609694;-5.47683
9.65999e+07;-0.611961;-5.49443
9.68226e+07;-0.613205;-5.5069
9.70458e+07;-0.614456;-5.51941
9.72695e+07;-0.616038;-5.53185
9.74937e+07;-0.617304;-5.54441
9.77185e+07;-0.61729;-5.54634
9.79438e+07;-0.619455;-5.56419
9.81695e+07;-0.620414;-5.57691
9.83959e+07;-0.622197;-5.58943
9.86227e+07;-0.623498;-5.60211
9.885e+07;-0.62497;-5.61477
9.90779e+07;-0.627359;-5.6328
9.93063e+07;-0.658155;-5.63575
9.95352e+07;-0.661637;-5.66195
9.97647e+07;-0.663149;-5.67474
9.99947e+07;-0.662331;-5.67413
1.00225e+08;-0.664016;-5.6869
1.00456e+08;-0.667732;-5.71327
1.00688e+08;-0.667859;-5.71807
1.0092e+08;-0.670494;-5.7392
1.01153e+08;-0.670009;-5.73849
1.01386e+08;-0.672527;-5.75688
1.0162e+08;-0.67218;-5.75897
1.01854e+08;-0.674379;-5.77753
1.02089e+08;-0.676932;-5.79604
1.02324e+08;-0.67853;-5.80912
1.0256e+08;-0.679797;-5.82232
1.02796e+08;-0.681241;-5.8355
1.03033e+08;-0.68434;-5.85694
1.03271e+08;-0.684497;-5.86185
1.03509e+08;-0.687625;-5.88338
1.03747e+08;-0.687444;-5.88841
1.03987e+08;-0.719265;-5.89706
1.04226e+08;-0.721103;-5.91029
1.04467e+08;-0.722778;-5.92361
1.04707e+08;-0.724115;-5.93706
1.04949e+08;-0.725634;-5.95049
1.05191e+08;-0.726479;-5.95821
1.05433e+08;-0.730593;-5.98577
1.05676e+08;-0.731969;-5.99936
1.0592e+08;-0.733879;-6.01281
1.06164e+08;-0.735447;-6.02639
1.06409e+08;-0.735628;-6.03143
1.06654e+08;-0.737208;-6.04506
1.069e+08;-0.741443;-6.07301
1.07146e+08;-0.740749;-6.07229
1.07393e+08;-0.742179;-6.08606
1.07641e+08;-0.745399;-6.10842
1.07889e+08;-0.747565;-6.12204
1.08138e+08;-0.74741;-6.12727
1.08387e+08;-0.777505;-6.12759
1.08637e+08;-0.782265;-6.15887
1.08887e+08;-0.78429;-6.17266
1.09138e+08;-0.78449;-6.1778
1.0939e+08;-0.786349;-6.19168
1.09642e+08;-0.789346;-6.21452
1.09895e+08;-0.789374;-6.21976
1.10148e+08;-0.792944;-6.24253
1.10402e+08;-0.795031;-6.25648
1.10657e+08;-0.797352;-6.27667
1.10912e+08;-0.798324;-6.28478
1.11168e+08;-0.800259;-6.29888
1.11424e+08;-0.801837;-6.31313
1.11681e+08;-0.803425;-6.32742
1.11938e+08;-0.805574;-6.34155
1.12196e+08;-0.807365;-6.35583
1.12455e+08;-0.839211;-6.36515
1.12714e+08;-0.842017;-6.38555
1.12974e+08;-0.843209;-6.39372
1.13234e+08;-0.84229;-6.39619
1.13495e+08;-0.844306;-6.41052
1.13757e+08;-0.848727;-6.43698
1.14019e+08;-0.851229;-6.45773
1.14282e+08;-0.853102;-6.47225
1.14546e+08;-0.8562;-6.49291
1.1481e+08;-0.856037;-6.49516
1.15074e+08;-0.858126;-6.5097
1.1534e+08;-0.859848;-6.52439
1.15605e+08;-0.862337;-6.53887
1.15872e+08;-0.863889;-6.55369
1.16139e+08;-0.863357;-6.55607
1.16407e+08;-0.867784;-6.58317
1.16675e+08;-0.900798;-6.59906
1.16944e+08;-0.902582;-6.61394
1.17214e+08;-0.903228;-6.61923
1.17484e+08;-0.906565;-6.64367
1.17755e+08;-0.908766;-6.65852
1.18026e+08;-0.910978;-6.6734
1.18298e+08;-0.912621;-6.6885
1.18571e+08;-0.916154;-6.70974
1.18844e+08;-0.917102;-6.71841
1.19118e+08;-0.917203;-6.72397
1.19393e+08;-0.921241;-6.74857
1.19668e+08;-0.924449;-6.77012
1.19944e+08;-0.925228;-6.77893
1.20221e+08;-0.92714;-6.7942
1.20498e+08;-0.927263;-6.79981
1.20775e+08;-0.959481;-6.80965
1.21054e+08;-0.966166;-6.84744
1.21333e+08;-0.966767;-6.85641
1.21613e+08;-0.969132;-6.87169
1.21893e+08;-0.96925;-6.87737
1.22174e+08;-0.971433;-6.89276
1.22456e+08;-0.975506;-6.91801
1.22738e+08;-0.978707;-6.94013
1.23021e+08;-0.978056;-6.93913
1.23305e+08;-0.982184;-6.96454
1.23589e+08;-0.984434;-6.98011
1.23874e+08;-0.984584;-6.98586
1.24159e+08;-0.988566;-7.0115
1.24445e+08;-1.02;-7.01836
1.24732e+08;-1.02229;-7.03404
1.2502e+08;-1.0246;-7.04975
1.25308e+08;-1.02527;-7.05897
1.25597e+08;-1.03082;-7.09149
1.25887e+08;-1.03118;-7.09724
1.26177e+08;-1.03574;-7.12311
1.26468e+08;-1.03549;-7.12911
1.26759e+08;-1.0405;-7.15493
1.27051e+08;-1.04248;-7.17105
1.27344e+08;-1.04308;-7.17678
1.27638e+08;-1.04691;-7.20323
1.27932e+08;-1.04976;-7.21913
1.28227e+08;-1.08147;-7.22607
1.28523e+08;-1.08199;-7.23557
1.28819e+08;-1.11037;-7.22911
1.29116e+08;-1.08693;-7.26785
1.29413e+08;-1.09054;-7.291
1.29712e+08;-1.09018;-7.29352
1.30011e+08;-1.09382;-7.31675
1.30311e+08;-1.0979;-7.33989
1.30611e+08;-1.10024;-7.35631
1.30912e+08;-1.10124;-7.36579
1.31214e+08;-1.10381;-7.38218
1.31516e+08;-1.10618;-7.39868
1.3182e+08;-1.1385;-7.40935
1.32123e+08;-1.14111;-7.42582
1.32428e+08;-1.14512;-7.44935
1.32733e+08;-1.14573;-7.45911
1.33039e+08;-1.14978;-7.48274
1.33346e+08;-1.15223;-7.49944
1.33653e+08;-1.15469;-7.51618
1.33961e+08;-1.15782;-7.5327
1.3427e+08;-1.1601;-7.54959
1.3458e+08;-1.16464;-7.57714
1.3489e+08;-1.16534;-7.58321
1.35201e+08;-1.16809;-7.60003
1.35513e+08;-1.20282;-7.62163
1.35825e+08;-1.20244;-7.62817
1.36138e+08;-1.20544;-7.64499
1.36452e+08;-1.20781;-7.66211
1.36767e+08;-1.21063;-7.67909
1.37082e+08;-1.21346;-7.6961
1.37398e+08;-1.24334;-7.69635
1.37715e+08;-1.22153;-7.74105
1.38032e+08;-1.22504;-7.76586
1.3835e+08;-1.22687;-7.77553
1.38669e+08;-1.25875;-7.78693
1.38989e+08;-1.2619;-7.80406
1.39309e+08;-1.26462;-7.82141
1.3963e+08;-1.26736;-7.83879
1.39952e+08;-1.2701;-7.85621
1.40275e+08;-1.29885;-7.85294
1.40598e+08;-1.30117;-7.87057
1.40923e+08;-1.27844;-7.90867
1.41247e+08;-1.28125;-7.92622
1.41573e+08;-1.28362;-7.944
1.41899e+08;-1.28873;-7.96883
1.42226e+08;-1.3479;-7.96294
1.42554e+08;-1.32543;-8.0056
1.42883e+08;-1.35318;-7.99849
1.43212e+08;-1.32936;-8.03367
1.43543e+08;-1.33228;-8.05148
1.43873e+08;-1.36234;-8.05159
1.44205e+08;-1.36482;-8.06962
1.44538e+08;-1.34157;-8.1049
1.44871e+08;-1.37073;-8.1054
1.45205e+08;-1.37417;-8.12314
1.45539e+08;-1.40809;-8.14252
1.45875e+08;-1.37972;-8.15932
1.46211e+08;-1.41414;-8.17858
1.46548e+08;-1.41718;-8.19666
1.46886e+08;-1.41978;-8.21498
1.47225e+08;-1.39145;-8.23192
1.47564e+08;-1.39946;-8.26927
1.47904e+08;-1.42999;-8.26914
1.48245e+08;-1.43265;-8.2876
1.48587e+08;-1.46674;-8.30732
1.4893e+08;-1.43848;-8.32444
1.49273e+08;-1.44165;-8.34281
1.49617e+08;-1.47627;-8.36243
1.49962e+08;-1.47948;-8.38087
1.50308e+08;-1.45127;-8.39812
1.50654e+08;-1.45452;-8.41663
1.51001e+08;-1.48874;-8.43662
1.5135e+08;-1.46105;-8.45375
1.51698e+08;-1.49371;-8.46579
1.52048e+08;-1.49701;-8.48443
1.52399e+08;-1.50195;-8.51117
1.5275e+08;-1.50481;-8.53011
1.53102e+08;-1.50655;-8.54078
1.53455e+08;-1.51155;-8.56767
1.53809e+08;-1.54641;-8.58775
1.54163e+08;-1.51836;-8.60538
1.54519e+08;-1.52131;-8.62451
1.54875e+08;-1.55407;-8.63674
1.55232e+08;-1.55705;-8.65594
1.5559e+08;-1.56319;-8.6827
1.55949e+08;-1.56451;-8.69375
1.56308e+08;-1.56754;-8.71305
1.56668e+08;-1.57278;-8.74043
1.5703e+08;-1.57462;-8.75131
1.57392e+08;-1.57819;-8.77049
1.57754e+08;-1.58351;-8.79803
1.58118e+08;-1.61638;-8.81046
1.58483e+08;-1.61952;-8.82999
1.58848e+08;-1.62266;-8.84956
1.59214e+08;-1.62505;-8.8603
1.59581e+08;-1.62773;-8.88016
1.59949e+08;-1.6342;-8.90753
1.60318e+08;-1.63742;-8.92724
1.60687e+08;-1.63836;-8.93879
1.61058e+08;-1.67658;-8.97211
1.61429e+08;-1.67739;-8.97917
1.61801e+08;-1.68067;-8.99902
1.62174e+08;-1.68747;-9.03126
1.62548e+08;-1.68831;-9.03835
1.62923e+08;-1.6886;-9.04555
1.63298e+08;-1.69905;-9.09049
1.63675e+08;-1.73348;-9.11209
1.64052e+08;-1.73071;-9.10664
1.6443e+08;-1.73892;-9.14346
1.64809e+08;-1.74287;-9.16338
1.65189e+08;-1.74633;-9.18358
1.6557e+08;-1.75032;-9.20357
1.65952e+08;-1.75433;-9.22359
1.66334e+08;-1.75785;-9.24391
1.66718e+08;-1.79294;-9.26557
1.67102e+08;-1.79378;-9.27264
1.67487e+08;-1.79735;-9.29305
1.67873e+08;-1.80144;-9.31324
1.6826e+08;-1.80884;-9.3466
1.68648e+08;-1.81247;-9.36715
1.69037e+08;-1.81612;-9.38774
1.69427e+08;-1.84602;-9.38761
1.69817e+08;-1.85225;-9.41683
1.70209e+08;-1.85544;-9.43777
1.70601e+08;-1.8602;-9.45795
1.70995e+08;-1.86395;-9.47871
1.71389e+08;-1.86823;-9.49923
1.71784e+08;-1.86889;-9.51166
1.7218e+08;-1.87373;-9.53197
1.72577e+08;-1.90913;-9.55418
1.72975e+08;-1.91561;-9.58384
1.73373e+08;-1.91894;-9.60511
1.73773e+08;-1.92389;-9.62558
1.74174e+08;-1.92565;-9.63759
1.74575e+08;-1.92957;-9.65868
1.74978e+08;-1.96512;-9.68113
1.75381e+08;-1.96637;-9.69348
1.75785e+08;-1.97306;-9.7235
1.76191e+08;-1.97814;-9.74418
1.76597e+08;-1.98216;-9.76546
1.77004e+08;-1.99341;-9.81407
1.77412e+08;-1.99028;-9.80814
1.77821e+08;-2.02321;-9.82196
1.78231e+08;-2.03148;-9.8567
1.78642e+08;-2.03616;-9.87789
1.79053e+08;-2.04032;-9.89942
1.79466e+08;-2.04733;-9.92998
1.7988e+08;-2.04503;-9.92887
1.80295e+08;-2.07712;-9.93793
1.8071e+08;-2.08707;-9.97761
1.81127e+08;-2.09366;-10.0087
1.81544e+08;-2.0904;-10.0026
1.81963e+08;-2.10282;-10.0519
1.82382e+08;-2.1037;-10.065
1.82803e+08;-2.10333;-10.068
1.83224e+08;-2.1452;-10.1095
1.83647e+08;-2.1457;-10.1173
1.8407e+08;-2.14955;-10.1395
1.84494e+08;-2.15902;-10.1751
1.8492e+08;-2.16294;-10.1975
1.85346e+08;-2.19569;-10.2064
1.85773e+08;-2.19964;-10.2288
1.86201e+08;-2.20416;-10.2509
1.86631e+08;-2.20927;-10.2728
1.87061e+08;-2.21384;-10.295
1.87492e+08;-2.24399;-10.3001
1.87924e+08;-2.22305;-10.3396
1.88358e+08;-2.28489;-10.346
1.88792e+08;-2.26406;-10.3857
1.89227e+08;-2.26818;-10.4085
1.89663e+08;-2.29891;-10.4132
1.90101e+08;-2.2782;-10.4531
1.90539e+08;-2.31411;-10.4774
1.90978e+08;-2.3454;-10.4818
1.91418e+08;-2.3502;-10.5044
1.9186e+08;-2.32969;-10.5446
1.92302e+08;-2.35986;-10.5497
1.92745e+08;-2.3653;-10.572
1.9319e+08;-2.36962;-10.5951
1.93635e+08;-2.37511;-10.6176
1.94081e+08;-2.37948;-10.6407
1.94529e+08;-2.38501;-10.6633
1.94977e+08;-2.3976;-10.7104
1.95427e+08;-2.45954;-10.7169
1.95877e+08;-2.4646;-10.7399
1.96329e+08;-2.43297;-10.7472
1.96781e+08;-2.44196;-10.7795
1.97235e+08;-2.44373;-10.793
1.9769e+08;-2.45222;-10.8258
1.98145e+08;-2.48578;-10.8406
1.98602e+08;-2.49544;-10.8787
1.9906e+08;-2.49618;-10.8871
1.99519e+08;-2.5065;-10.9249
1.99979e+08;-2.50149;-10.9189
2.0044e+08;-2.54771;-10.9737
2.00902e+08;-2.54382;-10.967
2.01365e+08;-2.54914;-10.9904
2.01829e+08;-2.56379;-11.0441
2.02294e+08;-2.55928;-11.0377
2.02761e+08;-2.597;-11.0682
2.03228e+08;-2.60839;-11.1064
2.03697e+08;-2.60849;-11.115
2.04166e+08;-2.61938;-11.1537
2.04637e+08;-2.62372;-11.1782
2.05109e+08;-2.65626;-11.1879
2.05582e+08;-2.66183;-11.2116
2.06055e+08;-2.66743;-11.2355
2.06531e+08;-2.67857;-11.2745
2.07007e+08;-2.67871;-11.2832
2.07484e+08;-2.71256;-11.2985
2.07962e+08;-2.71458;-11.3124
2.08442e+08;-2.72398;-11.3464
2.08922e+08;-2.73285;-11.381
2.09404e+08;-2.73924;-11.4047
2.09886e+08;-2.77258;-11.4204
2.1037e+08;-2.77466;-11.4345
2.10855e+08;-2.78368;-11.4692
2.11341e+08;-2.78957;-11.4934
2.11829e+08;-2.7961;-11.5173
2.12317e+08;-2.82432;-11.5173
2.12806e+08;-2.83486;-11.5579
2.13297e+08;-2.84658;-11.5975
2.13789e+08;-2.8565;-11.6322
2.14281e+08;-2.87893;-11.617
2.14775e+08;-2.89157;-11.6628
2.15271e+08;-2.89831;-11.687
2.15767e+08;-2.90446;-11.7115
2.16264e+08;-2.94132;-11.7384
2.16763e+08;-2.94213;-11.7469
2.17262e+08;-2.95439;-11.7873
2.17763e+08;-2.96004;-11.8124
2.18265e+08;-2.96509;-11.8381
2.18768e+08;-2.99445;-11.8372
2.19273e+08;-3.00078;-11.862
2.19778e+08;-3.01611;-11.914
2.20285e+08;-3.01635;-11.923
2.20793e+08;-3.04999;-11.9393
2.21302e+08;-3.05706;-11.9638
2.21812e+08;-3.06291;-11.9892
2.22323e+08;-3.07005;-12.0138
2.22836e+08;-3.07596;-12.0393
2.2335e+08;-3.10967;-12.0557
2.23864e+08;-3.12045;-12.0914
2.2438e+08;-3.13003;-12.1281
2.24898e+08;-3.13248;-12.1427
