frequency;r S[1,1];i S[1,1];;;;;;
4,37E+14;0.00369754;-0.000507357;0.0961809;-0.29096;0.0961809;-0.29096;0.0961809;-0.29096
4,39E+14;0.00369729;0.000123363;0.0961810;-0.29097;0.0961810;-0.29097;0.0961810;-0.29097
4,41E+14;0.00369785;0.0007515;0.0961811;-0.29098;0.0961811;-0.29098;0.0961811;-0.29098
4,43E+14;0.00369918;0.00137708;0.0961812;-0.29099;0.0961812;-0.29099;0.0961812;-0.29099
4,44E+14;0.00370129;0.00200014;0.0961813;-0.29100;0.0961813;-0.29100;0.0961813;-0.29100
4,46E+14;0.00370417;0.00262071;0.0961814;-0.29101;0.0961814;-0.29101;0.0961814;-0.29101
4,48E+14;0.00370781;0.0032388;0.0961815;-0.29102;0.0961815;-0.29102;0.0961815;-0.29102
4,50E+12;0.00371219;0.00385446;0.0961816;-0.29103;0.0961816;-0.29103;0.0961816;-0.29103
4,52E+14;0.00371731;0.00446771;0.0961817;-0.29104;0.0961817;-0.29104;0.0961817;-0.29104
4,54E+14;0.00372317;0.00507858;0.0961818;-0.29105;0.0961818;-0.29105;0.0961818;-0.29105
4,55E+14;0.00372974;0.00568709;0.0961819;-0.29106;0.0961819;-0.29106;0.0961819;-0.29106
4,57E+14;0.00373703;0.00629327;0.0961820;-0.29107;0.0961820;-0.29107;0.0961820;-0.29107
4,59E+14;0.00374503;0.00689715;0.0961821;-0.29108;0.0961821;-0.29108;0.0961821;-0.29108
4,61E+14;0.00375372;0.00749875;0.0961822;-0.29109;0.0961822;-0.29109;0.0961822;-0.29109
4,63E+14;0.00376311;0.0080981;0.0961823;-0.29110;0.0961823;-0.29110;0.0961823;-0.29110
4,64E+14;0.00377317;0.00869522;0.0961824;-0.29111;0.0961824;-0.29111;0.0961824;-0.29111
4,66E+14;0.00378391;0.00929014;0.0961825;-0.29112;0.0961825;-0.29112;0.0961825;-0.29112
4,68E+14;0.00379532;0.00988288;0.0961826;-0.29113;0.0961826;-0.29113;0.0961826;-0.29113
4,70E+14;0.00380739;0.0104735;0.0961827;-0.29114;0.0961827;-0.29114;0.0961827;-0.29114
4,72E+14;0.00382011;0.0110619;0.0961828;-0.29115;0.0961828;-0.29115;0.0961828;-0.29115
4,73E+14;0.00383348;0.0116483;0.0961829;-0.29116;0.0961829;-0.29116;0.0961829;-0.29116
4,75E+13;0.00384749;0.0122325;0.0961830;-0.29117;0.0961830;-0.29117;0.0961830;-0.29117
4,77E+14;0.00386213;0.0128147;0.0961831;-0.29118;0.0961831;-0.29118;0.0961831;-0.29118
4,79E+14;0.0038774;0.0133949;0.0961832;-0.29119;0.0961832;-0.29119;0.0961832;-0.29119
4,81E+14;0.00389329;0.013973;0.0961833;-0.29120;0.0961833;-0.29120;0.0961833;-0.29120
4,82E+14;0.00390979;0.0145492;0.0961834;-0.29121;0.0961834;-0.29121;0.0961834;-0.29121
4,84E+14;0.0039269;0.0151233;0.0961835;-0.29122;0.0961835;-0.29122;0.0961835;-0.29122
4,86E+14;0.00394461;0.0156955;0.0961836;-0.29123;0.0961836;-0.29123;0.0961836;-0.29123
